season,week,name,score,status,industry,age,est_vote_share,est_vote_std,method_used,is_consistent,certainty_score
1,1,John O'Hurley,26.666666666666664,Safe,Actor/Actress,50,0.18077967300178052,0.10205157104774223,Ranking,True,0.6069470076758701
1,1,Kelly Monaco,17.333333333333332,Safe,Actor/Actress,29,0.14109606747804404,0.09116986899356185,Ranking,True,0.6069470076758701
1,1,Evander Holyfield,24.0,Safe,Athlete,42,0.16156459766406311,0.09672984993982833,Ranking,True,0.6069470076758701
1,1,Rachel Hunter,26.666666666666664,Safe,Model,35,0.16667119121182492,0.09727616475824097,Ranking,True,0.6069470076758701
1,1,Joey McIntyre,26.666666666666664,Safe,Singer/Rapper,32,0.19910204086195657,0.10610260024724723,Ranking,True,0.6069470076758701
1,1,Trista Sutter,24.0,Safe,TV Personality,32,0.15078642978233173,0.09624943349957421,Ranking,True,0.6069470076758701
1,2,John O'Hurley,34.666666666666664,Safe,Actor/Actress,50,0.1917770908059949,0.09126748419217759,Ranking,True,0.7044565279172715
1,2,Kelly Monaco,22.666666666666664,Safe,Actor/Actress,29,0.1734371368302443,0.07802257920105458,Ranking,True,0.7044565279172715
1,2,Evander Holyfield,18.666666666666664,Safe,Athlete,42,0.19675671989427806,0.07008454373924676,Ranking,True,0.7044565279172715
1,2,Rachel Hunter,32.0,Safe,Model,35,0.16503569089781164,0.08515443797097369,Ranking,True,0.7044565279172715
1,2,Joey McIntyre,28.0,Safe,Singer/Rapper,32,0.20397182716294243,0.08715802777713846,Ranking,True,0.7044565279172715
1,2,Trista Sutter,25.333333333333332,Eliminated,TV Personality,32,0.06902153440872935,0.031628135243501644,Ranking,True,0.7044565279172715
1,3,John O'Hurley,32.0,Safe,Actor/Actress,50,0.21384265002170616,0.0931107480140866,Ranking,True,0.6703892388922422
1,3,Kelly Monaco,28.0,Safe,Actor/Actress,29,0.24243559939755624,0.08307917486344174,Ranking,True,0.6703892388922422
1,3,Evander Holyfield,17.333333333333332,Eliminated,Athlete,42,0.11610489881451155,0.05053423563611839,Ranking,True,0.6703892388922422
1,3,Rachel Hunter,34.666666666666664,Safe,Model,35,0.19148461867249686,0.08985048073001811,Ranking,True,0.6703892388922422
1,3,Joey McIntyre,29.333333333333332,Safe,Singer/Rapper,32,0.2361322330937298,0.09543881214103243,Ranking,True,0.6703892388922422
1,4,John O'Hurley,28.0,Safe,Actor/Actress,50,0.2427054923570752,0.08371679523910702,Ranking,True,0.6872605497499533
1,4,Kelly Monaco,34.666666666666664,Safe,Actor/Actress,29,0.29937499070194135,0.10324629100631935,Ranking,True,0.6872605497499533
1,4,Rachel Hunter,33.33333333333333,Eliminated,Model,35,0.1288455429592077,0.043985398791170686,Ranking,True,0.6872605497499533
1,4,Joey McIntyre,26.666666666666664,Safe,Singer/Rapper,32,0.32907397398177385,0.08179096521344957,Ranking,True,0.6872605497499533
1,5,John O'Hurley,36.0,Safe,Actor/Actress,50,0.32430102392991655,0.12121368931684531,Ranking,True,0.5105593576094845
1,5,Kelly Monaco,31.333333333333332,Safe,Actor/Actress,29,0.3354173036197555,0.122596634020581,Ranking,True,0.5105593576094845
1,5,Joey McIntyre,30.0,Safe,Singer/Rapper,32,0.3402816724503283,0.1232701584554604,Ranking,True,0.5105593576094845
1,6,John O'Hurley,36.0,Safe,Actor/Actress,50,0.3237573547594336,0.11631379487628506,Ranking,True,0.542899903789861
1,6,Kelly Monaco,36.666666666666664,Safe,Actor/Actress,29,0.36003177338742043,0.11516518188035756,Ranking,True,0.542899903789861
1,6,Joey McIntyre,0.0,Safe,Singer/Rapper,32,0.31621087185314595,0.1113460954009617,Ranking,True,0.542899903789861
2,1,Tatum O'Neal,30.666666666666664,Safe,Actor/Actress,42,0.11161180054546727,0.0671660246428264,Ranking,True,0.7583147001226075
2,1,Tia Carrere,26.666666666666664,Safe,Actor/Actress,39,0.10388742047484227,0.06595795949599384,Ranking,True,0.7583147001226075
2,1,George Hamilton,24.0,Safe,Actor/Actress,66,0.10647557763845535,0.061375785768031724,Ranking,True,0.7583147001226075
