season,week,actual_eliminated,rank_eliminated,pct_eliminated,match_rank,match_pct,names,judge_ranks,fan_ranks,total_pct
1,1,[],Trista Sutter,Kelly Monaco,False,False,"[""John O'Hurley"" 'Kelly Monaco' 'Evander Holyfield' 'Rachel Hunter'
 'Joey McIntyre' 'Trista Sutter']",[1 6 4 1 1 4],[1 2 4 3 5 6],[0.17733982 0.14454415 0.16616131 0.17588268 0.1742754  0.16179663]
1,2,['Trista Sutter'],Trista Sutter,Trista Sutter,True,True,"[""John O'Hurley"" 'Kelly Monaco' 'Evander Holyfield' 'Rachel Hunter'
 'Joey McIntyre' 'Trista Sutter']",[1 5 6 2 3 4],[5 2 1 4 3 6],[0.18334538 0.17566398 0.17463655 0.18441947 0.18532605 0.09660857]
1,3,['Evander Holyfield'],Evander Holyfield,Evander Holyfield,True,True,"[""John O'Hurley"" 'Kelly Monaco' 'Evander Holyfield' 'Rachel Hunter'
 'Joey McIntyre']",[2 4 5 1 3],[3 1 5 4 2],[0.21408741 0.24554383 0.10266807 0.22350743 0.21419326]
1,4,['Rachel Hunter'],Rachel Hunter,Rachel Hunter,True,True,"[""John O'Hurley"" 'Kelly Monaco' 'Rachel Hunter' 'Joey McIntyre']",[3 1 2 4],[2 3 4 1],[0.25554527 0.27889653 0.16843382 0.29712438]
1,5,[],Joey McIntyre,Joey McIntyre,False,False,"[""John O'Hurley"" 'Kelly Monaco' 'Joey McIntyre']",[1 2 3],[1 2 3],[0.35696946 0.32722594 0.3158046 ]
1,6,[],John O'Hurley,John O'Hurley,False,False,"[""John O'Hurley"" 'Kelly Monaco']",[2 1],[2 1],[0.49022236 0.50977764]
2,1,['Kenny Mayne'],Kenny Mayne,Kenny Mayne,True,True,"[""Tatum O'Neal"" 'Tia Carrere' 'George Hamilton' 'Lisa Rinna'
 'Stacy Keibler' 'Jerry Rice' 'Giselle Fernandez' 'Master P' 'Drew Lachey'
 'Kenny Mayne']",[ 2  6  8  7  4  5  2 10  1  9],[ 3  8  1  5  7  4  6  2  9 10],"[0.11359872 0.10113689 0.11129032 0.10208854 0.10702824 0.10753264
 0.11037111 0.09413114 0.10786362 0.04495877]"
2,2,"[""Tatum O'Neal""]",Tatum O'Neal,Tatum O'Neal,True,True,"[""Tatum O'Neal"" 'Tia Carrere' 'George Hamilton' 'Lisa Rinna'
 'Stacy Keibler' 'Jerry Rice' 'Giselle Fernandez' 'Master P' 'Drew Lachey']",[8 5 5 7 1 4 3 9 2],[9 3 4 1 6 5 8 2 7],"[0.05774833 0.11733152 0.11309182 0.12267664 0.12809143 0.11460122
 0.11407099 0.10983361 0.12255444]"
2,3,['Giselle Fernandez'],Giselle Fernandez,Giselle Fernandez,True,True,"['Tia Carrere' 'George Hamilton' 'Lisa Rinna' 'Stacy Keibler' 'Jerry Rice'
 'Giselle Fernandez' 'Master P' 'Drew Lachey']",[3 5 4 1 7 5 8 1],[5 7 3 4 2 8 1 6],"[0.13657218 0.11081106 0.14141686 0.13961761 0.13362253 0.06953323
 0.13074244 0.13768409]"
2,4,['Master P'],Master P,Master P,True,True,"['Tia Carrere' 'George Hamilton' 'Lisa Rinna' 'Stacy Keibler' 'Jerry Rice'
 'Master P' 'Drew Lachey']",[4 6 2 2 5 7 1],[3 1 5 6 2 7 4],"[0.15795943 0.16636044 0.15269007 0.1513865  0.16052312 0.0492307
 0.16184973]"
