Weights,Fairness_Penalty,Retention_Penalty,Final_Score
"[np.float64(0.1), np.float64(0.1), np.float64(0.45)]",0.44025157232704404,0.4779874213836478,0.8226415094339623
"[np.float64(0.1), np.float64(0.1), np.float64(0.5)]",0.44025157232704404,0.4779874213836478,0.8226415094339623
"[np.float64(0.1), np.float64(0.1), np.float64(0.3)]",0.44339622641509435,0.4748427672955975,0.8232704402515724
"[np.float64(0.1), np.float64(0.1), np.float64(0.4)]",0.44339622641509435,0.4748427672955975,0.8232704402515724
"[np.float64(0.1), np.float64(0.1), np.float64(0.65)]",0.4308176100628931,0.49056603773584906,0.8232704402515724
"[np.float64(0.1), np.float64(0.1), np.float64(0.7)]",0.4308176100628931,0.49056603773584906,0.8232704402515724
"[np.float64(0.1), np.float64(0.1), np.float64(0.35)]",0.44339622641509435,0.4748427672955975,0.8232704402515724
"[np.float64(0.1), np.float64(0.1), np.float64(0.25)]",0.449685534591195,0.46855345911949686,0.8245283018867925
"[np.float64(0.1), np.float64(0.1), np.float64(0.55)]",0.4371069182389937,0.48427672955974843,0.8245283018867925
"[np.float64(0.1), np.float64(0.1), np.float64(0.6)]",0.4371069182389937,0.48427672955974843,0.8245283018867925
"[np.float64(0.1), np.float64(0.1), np.float64(0.2)]",0.46540880503144655,0.449685534591195,0.8251572327044026
"[np.float64(0.1), np.float64(0.1), np.float64(0.8)]",0.4308176100628931,0.4937106918238994,0.8257861635220126
"[np.float64(0.1), np.float64(0.1), np.float64(0.75)]",0.4308176100628931,0.4937106918238994,0.8257861635220126
"[np.float64(0.1), np.float64(0.1), np.float64(0.85)]",0.4276729559748428,0.5031446540880503,0.8301886792452831
"[np.float64(0.1), np.float64(0.2), np.float64(0.45)]",0.37735849056603776,0.5691823899371069,0.8327044025157233
"[np.float64(0.1), np.float64(0.2), np.float64(0.5)]",0.37735849056603776,0.5691823899371069,0.8327044025157233
"[np.float64(0.1), np.float64(0.1), np.float64(0.9)]",0.4276729559748428,0.5062893081761006,0.8327044025157233
"[np.float64(0.1), np.float64(0.25), np.float64(0.5)]",0.36792452830188677,0.5817610062893082,0.8333333333333333
"[np.float64(0.1), np.float64(0.2), np.float64(0.7)]",0.36792452830188677,0.5817610062893082,0.8333333333333333
"[np.float64(0.1), np.float64(0.2), np.float64(0.65)]",0.36792452830188677,0.5817610062893082,0.8333333333333333
"[np.float64(0.1), np.float64(0.25), np.float64(0.45)]",0.36792452830188677,0.5817610062893082,0.8333333333333333
"[np.float64(0.1), np.float64(0.2), np.float64(0.4)]",0.3805031446540881,0.5660377358490566,0.8333333333333334
"[np.float64(0.1), np.float64(0.15), np.float64(0.45)]",0.41823899371069184,0.5188679245283019,0.8333333333333334
"[np.float64(0.1), np.float64(0.15), np.float64(0.5)]",0.41823899371069184,0.5188679245283019,0.8333333333333334
"[np.float64(0.1), np.float64(0.2), np.float64(0.3)]",0.3805031446540881,0.5660377358490566,0.8333333333333334
"[np.float64(0.1), np.float64(0.2), np.float64(0.35)]",0.3805031446540881,0.5660377358490566,0.8333333333333334
"[np.float64(0.1), np.float64(0.15), np.float64(0.7)]",0.4088050314465409,0.5314465408805031,0.8339622641509434
"[np.float64(0.1), np.float64(0.25), np.float64(0.4)]",0.3710691823899371,0.5786163522012578,0.8339622641509434
"[np.float64(0.1), np.float64(0.25), np.float64(0.65)]",0.3584905660377358,0.5943396226415094,0.8339622641509434
"[np.float64(0.1), np.float64(0.15), np.float64(0.65)]",0.4088050314465409,0.5314465408805031,0.8339622641509434
"[np.float64(0.1), np.float64(0.25), np.float64(0.3)]",0.3710691823899371,0.5786163522012578,0.8339622641509434
"[np.float64(0.1), np.float64(0.25), np.float64(0.7)]",0.3584905660377358,0.5943396226415094,0.8339622641509434
"[np.float64(0.1), np.float64(0.15), np.float64(0.35)]",0.42138364779874216,0.5157232704402516,0.8339622641509434
"[np.float64(0.1), np.float64(0.25), np.float64(0.35)]",0.3710691823899371,0.5786163522012578,0.8339622641509434
"[np.float64(0.1), np.float64(0.15), np.float64(0.4)]",0.42138364779874216,0.5157232704402516,0.8339622641509434
"[np.float64(0.1), np.float64(0.15), np.float64(0.3)]",0.42138364779874216,0.5157232704402516,0.8339622641509434
"[np.float64(0.1), np.float64(0.2), np.float64(0.6)]",0.3742138364779874,0.5754716981132075,0.8345911949685534
"[np.float64(0.1), np.float64(0.2), np.float64(0.55)]",0.3742138364779874,0.5754716981132075,0.8345911949685534
"[np.float64(0.1), np.float64(0.2), np.float64(0.25)]",0.3867924528301887,0.559748427672956,0.8345911949685535
"[np.float64(0.1), np.float64(0.3), np.float64(0.45)]",0.36477987421383645,0.5880503144654088,0.8352201257861636
"[np.float64(0.1), np.float64(0.15), np.float64(0.55)]",0.41509433962264153,0.5251572327044025,0.8352201257861636
"[np.float64(0.1), np.float64(0.25), np.float64(0.6)]",0.36477987421383645,0.5880503144654088,0.8352201257861636
"[np.float64(0.1), np.float64(0.25), np.float64(0.55)]",0.36477987421383645,0.5880503144654088,0.8352201257861636
"[np.float64(0.1), np.float64(0.25), np.float64(0.25)]",0.37735849056603776,0.5723270440251572,0.8352201257861636
"[np.float64(0.1), np.float64(0.2), np.float64(0.2)]",0.4025157232704403,0.5408805031446541,0.8352201257861636
"[np.float64(0.1), np.float64(0.3), np.float64(0.5)]",0.36477987421383645,0.5880503144654088,0.8352201257861636
"[np.float64(0.1), np.float64(0.15), np.float64(0.25)]",0.4276729559748428,0.5094339622641509,0.8352201257861636
"[np.float64(0.1), np.float64(0.15), np.float64(0.6)]",0.41509433962264153,0.5251572327044025,0.8352201257861636
"[np.float64(0.1), np.float64(0.3), np.float64(0.7)]",0.3553459119496855,0.60062893081761,0.8358490566037735
"[np.float64(0.1), np.float64(0.3), np.float64(0.35)]",0.36792452830188677,0.5849056603773585,0.8358490566037735
"[np.float64(0.1), np.float64(0.3), np.float64(0.3)]",0.36792452830188677,0.5849056603773585,0.8358490566037735
"[np.float64(0.1), np.float64(0.3), np.float64(0.65)]",0.3553459119496855,0.60062893081761,0.8358490566037735
"[np.float64(0.1), np.float64(0.3), np.float64(0.4)]",0.36792452830188677,0.5849056603773585,0.8358490566037735
"[np.float64(0.1), np.float64(0.2), np.float64(0.8)]",0.36792452830188677,0.5849056603773585,0.8358490566037735
"[np.float64(0.1), np.float64(0.2), np.float64(0.75)]",0.36792452830188677,0.5849056603773585,0.8358490566037735
"[np.float64(0.1), np.float64(0.15), np.float64(0.2)]",0.44339622641509435,0.49056603773584906,0.8358490566037736
"[np.float64(0.1), np.float64(0.1), np.float64(0.15)]",0.4811320754716981,0.44339622641509435,0.8358490566037736
"[np.float64(0.1), np.float64(0.15), np.float64(0.75)]",0.4088050314465409,0.5345911949685535,0.8364779874213837
"[np.float64(0.1), np.float64(0.25), np.float64(0.75)]",0.3584905660377358,0.5974842767295597,0.8364779874213837
"[np.float64(0.1), np.float64(0.15), np.float64(0.8)]",0.4088050314465409,0.5345911949685535,0.8364779874213837
"[np.float64(0.1), np.float64(0.25), np.float64(0.8)]",0.3584905660377358,0.5974842767295597,0.8364779874213837
"[np.float64(0.1), np.float64(0.3), np.float64(0.6)]",0.36163522012578614,0.5943396226415094,0.8371069182389936
"[np.float64(0.1), np.float64(0.3), np.float64(0.55)]",0.36163522012578614,0.5943396226415094,0.8371069182389936
"[np.float64(0.1), np.float64(0.3), np.float64(0.8)]",0.3553459119496855,0.6037735849056604,0.8383647798742138
"[np.float64(0.1), np.float64(0.3), np.float64(0.75)]",0.3553459119496855,0.6037735849056604,0.8383647798742138
"[np.float64(0.1), np.float64(0.1), np.float64(0.1)]",0.4937106918238994,0.4308176100628931,0.8383647798742139
"[np.float64(0.1), np.float64(0.2), np.float64(0.85)]",0.36477987421383645,0.5943396226415094,0.8402515723270441
"[np.float64(0.1), np.float64(0.25), np.float64(0.85)]",0.3553459119496855,0.6069182389937107,0.840880503144654
"[np.float64(0.1), np.float64(0.15), np.float64(0.85)]",0.4056603773584906,0.5440251572327044,0.8408805031446541
"[np.float64(0.15), np.float64(0.2), np.float64(0.5)]",0.3742138364779874,0.5849056603773585,0.8421383647798741
"[np.float64(0.1), np.float64(0.75), np.float64(0.8)]",0.29874213836477986,0.6792452830188679,0.8421383647798741
"[np.float64(0.1), np.float64(0.75), np.float64(0.75)]",0.29874213836477986,0.6792452830188679,0.8421383647798741
"[np.float64(0.1), np.float64(0.8), np.float64(0.8)]",0.29874213836477986,0.6792452830188679,0.8421383647798741
"[np.float64(0.15), np.float64(0.2), np.float64(0.45)]",0.3742138364779874,0.5849056603773585,0.8421383647798741
"[np.float64(0.15), np.float64(0.2), np.float64(0.7)]",0.36477987421383645,0.5974842767295597,0.8427672955974843
"[np.float64(0.15), np.float64(0.2), np.float64(0.65)]",0.36477987421383645,0.5974842767295597,0.8427672955974843
"[np.float64(0.15), np.float64(0.25), np.float64(0.5)]",0.36477987421383645,0.5974842767295597,0.8427672955974843
"[np.float64(0.1), np.float64(0.3), np.float64(0.85)]",0.3522012578616352,0.6132075471698113,0.8427672955974843
"[np.float64(0.1), np.float64(0.2), np.float64(0.9)]",0.36477987421383645,0.5974842767295597,0.8427672955974843
"[np.float64(0.15), np.float64(0.2), np.float64(0.35)]",0.37735849056603776,0.5817610062893082,0.8427672955974843
"[np.float64(0.15), np.float64(0.15), np.float64(0.5)]",0.41509433962264153,0.5345911949685535,0.8427672955974843
"[np.float64(0.15), np.float64(0.2), np.float64(0.4)]",0.37735849056603776,0.5817610062893082,0.8427672955974843
"[np.float64(0.15), np.float64(0.15), np.float64(0.45)]",0.41509433962264153,0.5345911949685535,0.8427672955974843
"[np.float64(0.15), np.float64(0.25), np.float64(0.45)]",0.36477987421383645,0.5974842767295597,0.8427672955974843
"[np.float64(0.15), np.float64(0.2), np.float64(0.3)]",0.37735849056603776,0.5817610062893082,0.8427672955974843
"[np.float64(0.15), np.float64(0.25), np.float64(0.65)]",0.3553459119496855,0.610062893081761,0.8433962264150943
"[np.float64(0.15), np.float64(0.25), np.float64(0.7)]",0.3553459119496855,0.610062893081761,0.8433962264150943
"[np.float64(0.15), np.float64(0.25), np.float64(0.3)]",0.36792452830188677,0.5943396226415094,0.8433962264150943
"[np.float64(0.15), np.float64(0.25), np.float64(0.4)]",0.36792452830188677,0.5943396226415094,0.8433962264150943
"[np.float64(0.15), np.float64(0.25), np.float64(0.35)]",0.36792452830188677,0.5943396226415094,0.8433962264150943
"[np.float64(0.1), np.float64(0.55), np.float64(0.7)]",0.31761006289308175,0.6572327044025157,0.8433962264150943
"[np.float64(0.1), np.float64(0.55), np.float64(0.65)]",0.31761006289308175,0.6572327044025157,0.8433962264150943
"[np.float64(0.1), np.float64(0.25), np.float64(0.9)]",0.3553459119496855,0.610062893081761,0.8433962264150943
"[np.float64(0.1), np.float64(0.15), np.float64(0.9)]",0.4056603773584906,0.5471698113207547,0.8433962264150944
"[np.float64(0.15), np.float64(0.15), np.float64(0.7)]",0.4056603773584906,0.5471698113207547,0.8433962264150944
"[np.float64(0.15), np.float64(0.15), np.float64(0.65)]",0.4056603773584906,0.5471698113207547,0.8433962264150944
"[np.float64(0.15), np.float64(0.15), np.float64(0.4)]",0.41823899371069184,0.5314465408805031,0.8433962264150944
"[np.float64(0.15), np.float64(0.15), np.float64(0.35)]",0.41823899371069184,0.5314465408805031,0.8433962264150944
"[np.float64(0.15), np.float64(0.15), np.float64(0.3)]",0.41823899371069184,0.5314465408805031,0.8433962264150944
"[np.float64(0.15), np.float64(0.2), np.float64(0.6)]",0.3710691823899371,0.5911949685534591,0.8440251572327044
"[np.float64(0.15), np.float64(0.2), np.float64(0.55)]",0.3710691823899371,0.5911949685534591,0.8440251572327044
"[np.float64(0.15), np.float64(0.2), np.float64(0.25)]",0.3836477987421384,0.5754716981132075,0.8440251572327044
"[np.float64(0.1), np.float64(0.5), np.float64(0.5)]",0.3333333333333333,0.6383647798742138,0.8440251572327044
"[np.float64(0.1), np.float64(0.4), np.float64(0.5)]",0.34591194968553457,0.6226415094339622,0.8440251572327044
"[np.float64(0.1), np.float64(0.4), np.float64(0.45)]",0.34591194968553457,0.6226415094339622,0.8440251572327044
"[np.float64(0.1), np.float64(0.65), np.float64(0.65)]",0.3113207547169811,0.6666666666666666,0.8446540880503144
"[np.float64(0.1), np.float64(0.65), np.float64(0.7)]",0.3113207547169811,0.6666666666666666,0.8446540880503144
"[np.float64(0.1), np.float64(0.5), np.float64(0.7)]",0.3238993710691824,0.6509433962264151,0.8446540880503144
"[np.float64(0.1), np.float64(0.5), np.float64(0.65)]",0.3238993710691824,0.6509433962264151,0.8446540880503144
"[np.float64(0.15), np.float64(0.25), np.float64(0.25)]",0.3742138364779874,0.5880503144654088,0.8446540880503144
"[np.float64(0.15), np.float64(0.25), np.float64(0.55)]",0.36163522012578614,0.6037735849056604,0.8446540880503144
"[np.float64(0.15), np.float64(0.3), np.float64(0.5)]",0.36163522012578614,0.6037735849056604,0.8446540880503144
"[np.float64(0.15), np.float64(0.3), np.float64(0.45)]",0.36163522012578614,0.6037735849056604,0.8446540880503144
"[np.float64(0.1), np.float64(0.55), np.float64(0.6)]",0.3238993710691824,0.6509433962264151,0.8446540880503144
"[np.float64(0.1), np.float64(0.55), np.float64(0.55)]",0.3238993710691824,0.6509433962264151,0.8446540880503144
"[np.float64(0.1), np.float64(0.4), np.float64(0.65)]",0.33647798742138363,0.6352201257861635,0.8446540880503144
"[np.float64(0.1), np.float64(0.35), np.float64(0.5)]",0.36163522012578614,0.6037735849056604,0.8446540880503144
"[np.float64(0.1), np.float64(0.35), np.float64(0.45)]",0.36163522012578614,0.6037735849056604,0.8446540880503144
"[np.float64(0.1), np.float64(0.4), np.float64(0.4)]",0.3490566037735849,0.6194968553459119,0.8446540880503144
"[np.float64(0.15), np.float64(0.25), np.float64(0.6)]",0.36163522012578614,0.6037735849056604,0.8446540880503144
"[np.float64(0.1), np.float64(0.4), np.float64(0.7)]",0.33647798742138363,0.6352201257861635,0.8446540880503144
"[np.float64(0.15), np.float64(0.15), np.float64(0.55)]",0.4119496855345912,0.5408805031446541,0.8446540880503145
"[np.float64(0.15), np.float64(0.15), np.float64(0.25)]",0.42452830188679247,0.5251572327044025,0.8446540880503145
"[np.float64(0.15), np.float64(0.2), np.float64(0.2)]",0.39937106918238996,0.5566037735849056,0.8446540880503145
"[np.float64(0.15), np.float64(0.15), np.float64(0.6)]",0.4119496855345912,0.5408805031446541,0.8446540880503145
"[np.float64(0.3), np.float64(0.3), np.float64(0.45)]",0.3522012578616352,0.6163522012578616,0.8452830188679246
"[np.float64(0.15), np.float64(0.2), np.float64(0.75)]",0.36477987421383645,0.60062893081761,0.8452830188679246
"[np.float64(0.15), np.float64(0.3), np.float64(0.4)]",0.36477987421383645,0.60062893081761,0.8452830188679246
"[np.float64(0.15), np.float64(0.15), np.float64(0.2)]",0.44025157232704404,0.5062893081761006,0.8452830188679246
"[np.float64(0.15), np.float64(0.3), np.float64(0.7)]",0.3522012578616352,0.6163522012578616,0.8452830188679246
"[np.float64(0.15), np.float64(0.3), np.float64(0.65)]",0.3522012578616352,0.6163522012578616,0.8452830188679246
"[np.float64(0.1), np.float64(0.35), np.float64(0.7)]",0.3522012578616352,0.6163522012578616,0.8452830188679246
"[np.float64(0.15), np.float64(0.3), np.float64(0.3)]",0.36477987421383645,0.60062893081761,0.8452830188679246
"[np.float64(0.15), np.float64(0.3), np.float64(0.35)]",0.36477987421383645,0.60062893081761,0.8452830188679246
"[np.float64(0.3), np.float64(0.3), np.float64(0.5)]",0.3522012578616352,0.6163522012578616,0.8452830188679246
"[np.float64(0.1), np.float64(0.35), np.float64(0.35)]",0.36477987421383645,0.60062893081761,0.8452830188679246
"[np.float64(0.1), np.float64(0.35), np.float64(0.4)]",0.36477987421383645,0.60062893081761,0.8452830188679246
"[np.float64(0.1), np.float64(0.3), np.float64(0.9)]",0.3522012578616352,0.6163522012578616,0.8452830188679246
"[np.float64(0.1), np.float64(0.35), np.float64(0.65)]",0.3522012578616352,0.6163522012578616,0.8452830188679246
"[np.float64(0.15), np.float64(0.2), np.float64(0.8)]",0.36477987421383645,0.60062893081761,0.8452830188679246
"[np.float64(0.15), np.float64(0.25), np.float64(0.75)]",0.3553459119496855,0.6132075471698113,0.8459119496855345
"[np.float64(0.3), np.float64(0.3), np.float64(0.35)]",0.3553459119496855,0.6132075471698113,0.8459119496855345
"[np.float64(0.1), np.float64(0.55), np.float64(0.75)]",0.31761006289308175,0.660377358490566,0.8459119496855345
"[np.float64(0.15), np.float64(0.25), np.float64(0.8)]",0.3553459119496855,0.6132075471698113,0.8459119496855345
"[np.float64(0.1), np.float64(0.5), np.float64(0.55)]",0.330188679245283,0.6446540880503144,0.8459119496855345
"[np.float64(0.1), np.float64(0.55), np.float64(0.8)]",0.31761006289308175,0.660377358490566,0.8459119496855345
"[np.float64(0.1), np.float64(0.5), np.float64(0.6)]",0.330188679245283,0.6446540880503144,0.8459119496855345
"[np.float64(0.3), np.float64(0.3), np.float64(0.65)]",0.34276729559748426,0.6289308176100629,0.8459119496855345
"[np.float64(0.3), np.float64(0.3), np.float64(0.7)]",0.34276729559748426,0.6289308176100629,0.8459119496855345
"[np.float64(0.1), np.float64(0.4), np.float64(0.6)]",0.34276729559748426,0.6289308176100629,0.8459119496855345
"[np.float64(0.1), np.float64(0.4), np.float64(0.55)]",0.34276729559748426,0.6289308176100629,0.8459119496855345
"[np.float64(0.3), np.float64(0.3), np.float64(0.4)]",0.3553459119496855,0.6132075471698113,0.8459119496855345
"[np.float64(0.3), np.float64(0.3), np.float64(0.3)]",0.3553459119496855,0.6132075471698113,0.8459119496855345
"[np.float64(0.15), np.float64(0.15), np.float64(0.75)]",0.4056603773584906,0.550314465408805,0.8459119496855346
"[np.float64(0.15), np.float64(0.15), np.float64(0.8)]",0.4056603773584906,0.550314465408805,0.8459119496855346
"[np.float64(0.1), np.float64(0.35), np.float64(0.6)]",0.3584905660377358,0.610062893081761,0.8465408805031447
"[np.float64(0.1), np.float64(0.35), np.float64(0.55)]",0.3584905660377358,0.610062893081761,0.8465408805031447
"[np.float64(0.15), np.float64(0.3), np.float64(0.6)]",0.3584905660377358,0.610062893081761,0.8465408805031447
"[np.float64(0.15), np.float64(0.3), np.float64(0.55)]",0.3584905660377358,0.610062893081761,0.8465408805031447
"[np.float64(0.1), np.float64(0.7), np.float64(0.7)]",0.3081761006289308,0.6729559748427673,0.8465408805031447
