season,week,eliminated,judge_rank,fan_rank,actual_status
1,1,Kelly Monaco,6,6,Safe
1,2,Evander Holyfield,6,2,Safe
1,3,Evander Holyfield,5,5,Eliminated
1,4,Joey McIntyre,4,1,Safe
2,1,Master P,10,7,Safe
2,2,Master P,9,3,Safe
2,3,Master P,8,1,Safe
2,4,Master P,7,7,Eliminated
2,5,Tia Carrere,6,6,Eliminated
2,6,Jerry Rice,4,4,Safe
2,7,Jerry Rice,4,3,Safe
3,1,Tucker Carlson,11,11,Eliminated
3,2,Jerry Springer,10,9,Safe
3,3,Emmitt Smith,9,7,Safe
3,4,Sara Evans,8,5,Safe
3,5,Sara Evans,6,5,Safe
3,6,Sara Evans,6,5,Safe
3,7,Sara Evans,6,1,Safe
3,8,Sara Evans,5,1,Safe
3,9,Sara Evans,4,1,Safe
3,10,Sara Evans,3,1,Safe
4,1,Billy Ray Cyrus,11,8,Safe
4,2,Clyde Drexler,11,7,Safe
4,3,Clyde Drexler,10,5,Safe
4,4,Clyde Drexler,9,6,Safe
4,5,Clyde Drexler,8,8,Eliminated
4,6,John Ratzenberger,7,6,Safe
4,7,Billy Ray Cyrus,6,4,Safe
4,8,Billy Ray Cyrus,5,5,Eliminated
4,9,Ian Ziering,4,4,Eliminated
5,1,Josie Maran,12,12,Eliminated
5,2,Wayne Newton,11,5,Safe
5,3,Wayne Newton,10,10,Eliminated
5,4,Mark Cuban,9,8,Safe
5,5,Marie Osmond,7,6,Safe
5,6,Jane Seymour,7,3,Safe
5,7,Jane Seymour,6,6,Eliminated
5,8,Marie Osmond,5,4,Safe
5,9,Marie Osmond,4,3,Safe
6,1,Monica Seles,11,9,Safe
6,2,Monica Seles,12,11,Eliminated
6,3,Marissa Jaret Winokur,10,7,Safe
6,4,Adam Carolla,9,9,Eliminated
6,5,Priscilla Presley,8,8,Eliminated
6,6,Marlee Matlin,7,7,Eliminated
6,7,Cristian de la Fuente,6,4,Safe
6,8,Marissa Jaret Winokur,5,3,Safe
6,9,Marissa Jaret Winokur,4,4,Eliminated
7,1,Jeffrey Ross,13,12,Eliminated
7,2,Cloris Leachman,11,8,Safe
7,3,Misty May-Treanor,10,8,Safe
7,4,Misty May-Treanor,10,1,Safe
7,5,Misty May-Treanor,9,1,Safe
7,6,Misty May-Treanor,8,1,Safe
7,7,Misty May-Treanor,7,1,Safe
7,8,Misty May-Treanor,6,1,Safe
7,9,Misty May-Treanor,5,1,Safe
7,10,Misty May-Treanor,4,1,Safe
8,1,Steve Wozniak,13,13,Safe
8,2,Steve-O,13,10,Safe
8,3,Steve Wozniak,12,7,Safe
8,4,Steve Wozniak,11,10,Eliminated
8,5,Steve-O,9,7,Safe
8,6,Steve-O,8,8,Eliminated
8,7,Lawrence Taylor,7,7,Eliminated
8,8,Melissa Rycroft,6,5,Safe
8,9,Ty Murray,5,3,Safe
8,10,Ty Murray,4,4,Eliminated
9,1,Ashley Hamiliton,15,15,Eliminated
9,2,Tom DeLay,13,13,Safe
9,3,Michael Irvin,13,7,Safe
9,4,Tom DeLay,12,1,Safe
9,5,Tom DeLay,11,1,Safe
9,6,Tom DeLay,10,1,Safe
9,7,Tom DeLay,8,1,Safe
9,8,Tom DeLay,6,1,Safe
9,9,Tom DeLay,5,1,Safe
9,10,Tom DeLay,4,1,Safe
10,1,Buzz Aldrin,11,11,Safe
10,2,Buzz Aldrin,11,5,Safe
10,3,Buzz Aldrin,10,10,Eliminated
10,4,Kate Gosselin,9,5,Safe
10,5,Kate Gosselin,8,8,Eliminated
10,6,Jake Pavelka,7,7,Eliminated
10,7,Niecy Nash,6,5,Safe
10,8,Niecy Nash,5,5,Eliminated
10,9,Chad Ochocinco,4,4,Eliminated
11,1,The Situation,10,10,Safe
11,2,Michael Bolton,11,11,Eliminated
11,3,Margaret Cho,10,10,Eliminated
11,4,The Situation,9,9,Eliminated
11,5,Bristol Palin,8,7,Safe
11,6,Kurt Warner,7,3,Safe
11,7,Bristol Palin,6,5,Safe
11,8,Bristol Palin,5,4,Safe
11,9,Bristol Palin,4,3,Safe
12,1,Mike Catherwood,11,10,Safe
12,2,Sugar Ray Leonard,9,7,Safe
12,3,Wendy Williams,10,10,Eliminated
12,4,Kendra Wilkinson,9,7,Safe
12,5,Ralph Macchio,6,6,Safe
12,6,Chris Jericho,7,7,Eliminated
12,7,Romeo,5,3,Safe
12,8,Ralph Macchio,5,3,Safe
12,9,Ralph Macchio,4,4,Eliminated
13,1,Metta World Peace (Ron),12,12,Eliminated
13,2,Chaz Bono,11,8,Safe
13,3,Chaz Bono,10,7,Safe
13,4,Carson Kressley,9,8,Safe
13,5,Carson Kressley,8,8,Eliminated
13,6,Chaz Bono,7,7,Eliminated
13,7,Nancy Grace,6,5,Safe
13,8,Nancy Grace,5,5,Eliminated
13,9,Hope Solo,4,4,Eliminated
14,1,Martina Navratilova,10,10,Safe
14,2,Martina Navratilova,12,12,Eliminated
14,3,Gladys Knight,7,9,Safe
14,4,Gladys Knight,10,9,Safe
14,5,Gavin DeGraw,9,9,Eliminated
14,6,Gladys Knight,8,8,Eliminated
14,7,Melissa Gilbert,7,5,Safe
14,8,Melissa Gilbert,6,6,Eliminated
14,9,Katherine Jenkins,4,2,Safe
15,1,Pamela Anderson,13,13,Eliminated
15,2,Bristol Palin,12,10,Safe
15,3,Bristol Palin,11,9,Safe
15,4,Kirstie Alley,9,8,Safe
15,5,Kelly Monaco,8,7,Safe
15,6,Emmitt Smith,8,7,Safe
15,7,Kirstie Alley,7,7,Safe
15,8,Kirstie Alley,7,7,Eliminated
15,9,Emmitt Smith,5,5,Eliminated
16,1,D. L. Hughley,12,12,Safe
16,2,Dorothy Hamill,12,9,Safe
16,3,Wynonna Judd,11,12,Eliminated
16,4,Lisa Vanderpump,9,11,Eliminated
16,5,Dorothy Hamill,10,1,Safe
16,6,Dorothy Hamill,9,1,Safe
