season,week,name,judge_score,status,est_vote_share,est_vote_std
1,1,John O'Hurley,20.0,Safe,0.17119340893679305,0.14086363338052219
1,1,Kelly Monaco,13.0,Safe,0.16982224621646447,0.14367432728803464
1,1,Evander Holyfield,18.0,Safe,0.16718501049822027,0.13797560948834017
1,1,Rachel Hunter,20.0,Safe,0.1682791289695345,0.14760052251541822
1,1,Joey McIntyre,20.0,Safe,0.1650645681587518,0.1450322477477602
1,1,Trista Sutter,18.0,Safe,0.1584556372202357,0.13585674496119432
1,2,John O'Hurley,26.0,Safe,0.15181472965620815,0.12459774250901957
1,2,Kelly Monaco,17.0,Safe,0.2108320885581063,0.14432636616505357
1,2,Evander Holyfield,14.0,Safe,0.23357061566590218,0.13794812036088772
1,2,Rachel Hunter,24.0,Safe,0.1704918424845591,0.14699942192811705
1,2,Joey McIntyre,21.0,Safe,0.1970983758754928,0.14859402089928314
1,2,Trista Sutter,19.0,Eliminated,0.03619234775973139,0.03126465613269383
1,3,John O'Hurley,24.0,Safe,0.20175972519116045,0.16211756545307213
1,3,Kelly Monaco,21.0,Safe,0.2929744548623045,0.15844870265076205
1,3,Evander Holyfield,13.0,Eliminated,0.08269462965578292,0.06322148476772799
1,3,Rachel Hunter,26.0,Safe,0.2017318327502873,0.15661034777993868
1,3,Joey McIntyre,22.0,Safe,0.22083935754046488,0.15927993655309192
1,4,John O'Hurley,21.0,Safe,0.28282967473563797,0.18801112195321038
1,4,Kelly Monaco,26.0,Safe,0.27518436184355866,0.18502653784407944
1,4,Rachel Hunter,25.0,Eliminated,0.06512850317807962,0.04769704447604631
1,4,Joey McIntyre,20.0,Safe,0.3768574602427237,0.15795693381347714
1,5,John O'Hurley,27.0,Safe,0.34407591212567484,0.23192237229155252
1,5,Kelly Monaco,23.5,Safe,0.3325340705734332,0.23644878102127864
1,5,Joey McIntyre,22.5,Safe,0.3233900173008917,0.23925712210230232
1,6,John O'Hurley,27.0,Safe,0.48503188210977055,0.2840004211845053
1,6,Kelly Monaco,27.5,Safe,0.5149681178902296,0.28400042118450525
2,1,Tatum O'Neal,23.0,Safe,0.1092487130341386,0.08840507891074008
2,1,Tia Carrere,20.0,Safe,0.09970967182187437,0.08290117738412146
2,1,George Hamilton,18.0,Safe,0.13027295460852228,0.09214805240179831
2,1,Lisa Rinna,19.0,Safe,0.1067411756763088,0.08923383506462317
2,1,Stacy Keibler,22.0,Safe,0.10123597294540489,0.09275050457494675
2,1,Jerry Rice,21.0,Safe,0.10737298075395922,0.09265134757976626
2,1,Giselle Fernandez,23.0,Safe,0.10279350395555424,0.09073067606602607
2,1,Master P,12.0,Safe,0.12672382725229528,0.09671973837351529
2,1,Drew Lachey,24.0,Safe,0.09265032375489633,0.08383954456339474
2,1,Kenny Mayne,13.0,Eliminated,0.023250876197045845,0.02125727221228918
